timeTriInsertion;timeTriBulle;timeTriFusion;timeTriRapide;mode;moyenne;effectif;ecartType;mediane;variance
9400;11100;4300;3300;279;5238.08;100;2769.4723348681423;5303.5;7669977.013599999
946100;1071100;38700;593400;5;5030.554;1000;2950.8130423806924;4925.0;8707297.611084
1986500;2180700;47500;56300;15;5017.658666666666;1500;2920.2959538646487;4964.5;8528128.458158238
3408100;3585000;62700;186700;28;5013.616;2000;2904.433938402457;5040.5;8435736.502544008
5423800;5806700;83000;208200;2;4948.4348;2500;2880.872577839737;4875.0;8299426.809748972
7862100;8481200;103900;817700;12;4982.551333333334;3000;2814.363716727377;5009.0;7920643.1300315345
12160600;12636800;161200;13698900;4;5020.068285714286;3500;2881.090727122021;5024.0;8300683.777908496
15209400;16001800;160000;754000;67;5017.849;4000;2898.7872199764843;5077.0;8402967.346698994
25726700;25054100;192500;19439000;46;5031.5964;5000;2893.407553164095;5042.5;8371807.268707036
59326600;46380900;267600;85810800;13;5014.593285714286;7000;2911.2509349341403;5004.0;8475382.006154906
100579300;101036800;402300;181857500;45;4971.921555555556;9000;2889.4588506158057;4969.0;8348972.449402012
101524800;102959400;374800;853600;26;4991.693222222222;9000;2857.5200767251654;4967.0;8165420.988887394
170730200;120627100;450700;213211000;19;4998.770818181818;11000;2890.719216722756;5014.0;8356257.589930222
283232800;301249000;680200;77571800;37;4988.246933333333;15000;2899.800782138421;4962.5;8408844.576090597
1175194700;1183742900;1469200;8582000;114;4989.26;30000;2898.378475101795;4980.0;8400597.784933407
3567797400;2578869500;2851700;607236600;32;5005.18436;50000;2878.5243850854285;5021.0;8285902.635531445
7886115000;7717708000;4260300;5143400;47;4988.82556;75000;2894.6850435670226;4986.0;8379201.501450615
13670749200;10171134100;6274100;3610393400;17;5008.78059;100000;2890.1316048389863;5013.0;8352860.693289175
