timeTriInsertion;timeTriBulle;timeTriFusion;timeTriRapide;mode;moyenne;effectif;ecartType;mediane;variance
1700;127400;646700;9400;5;5.59;100;2.6611839470431193;6.0;7.081899999999995
7200;1187900;156600;133100;10;5.771;1000;2.8668029231183656;6.0;8.218559000000006
9200;2015200;100700;304600;8;5.36;1500;2.8551240486769105;5.0;8.151733333333233
12800;3883300;129800;57800;10;5.507;2000;2.8984394076813205;6.0;8.400951000000044
14900;5201800;144800;889100;3;5.56;2500;2.8489998244998067;6.0;8.116799999999929
16500;8010600;158100;1060300;10;5.497;3000;2.926543638264571;5.0;8.564657666666832
18400;10896700;165800;806900;5;5.481142857142857;3500;2.8689348659922413;5.0;8.23078726530592
20300;14285500;179800;906300;2;5.4675;4000;2.8811358437255534;5.0;8.300943750000156
25500;22487600;233300;3202700;1;5.4382;5000;2.8782252795777037;5.0;8.284180760000151
35700;45282700;331200;3956700;3;5.456857142857143;7000;2.8673275476139257;5.0;8.221567265305689
45900;71760500;437300;6932200;2;5.515777777777778;9000;2.8786524539473484;6.0;8.28663995061709
56900;72290100;548300;5698500;10;5.543333333333333;9000;2.898488111642529;6.0;8.401233333333073
56100;110627100;547100;17624800;9;5.484454545454545;11000;2.8757187516936464;5.0;8.269758338842463
95400;208244500;963000;4842200;8;5.511466666666666;15000;2.888875533644566;6.0;8.345601848890176
167800;848607500;1808700;260828700;7;5.496133333333334;30000;2.882056855017003;6.0;8.306251715550498
290600;2361189800;3363100;322417600;2;5.4822;50000;2.8776593196554536;5.0;8.280923159999888
447200;5291318900;7727900;194741400;6;5.505653333333333;75000;2.875194145298694;6.0;8.266741373159887
669900;10713379000;7487800;3026326200;2;5.49708;100000;2.876103522751742;5.0;8.27197147358498
