timeTriInsertion;timeTriBulle;timeTriFusion;timeTriRapide;mode;moyenne;effectif;ecartType;mediane;variance
6800;17400;10000;7600;6;5.38;100;2.8662867965365924;6.0;8.215600000000002
429700;1209100;105600;180500;7;5.679;1000;2.8474478046138008;6.0;8.107958999999955
865400;2449500;140700;295500;4;5.452;1500;2.9002923990522307;5.0;8.411696000000143
1590400;3881800;162100;452100;4;5.4445;2000;2.879395726537105;5.0;8.29091975000014
3095900;5922300;210200;702200;6;5.5384;2500;2.881479730971579;6.0;8.302925440000044
5095000;7849000;260300;878600;2;5.475333333333333;3000;2.9012741262341386;5.0;8.417391555555664
7435700;10691500;310000;1172000;3;5.496571428571428;3500;2.9002935249061514;5.0;8.41170253061255
10762300;16807800;365700;1611500;5;5.432;4000;2.864851828629154;5.0;8.207375999999808
18706400;21627000;469600;2474600;1;5.4044;5000;2.89759566537497;5.0;8.396060639999815
40825500;44525000;681500;4478500;7;5.484714285714285;7000;2.852827280049649;5.0;8.138623489795478
72332300;73689700;1079200;7419100;9;5.5088888888888885;9000;2.8932735955600966;6.0;8.37103209876525
72506600;71817700;912900;7416700;7;5.524555555555556;9000;2.8689249481338677;6.0;8.230730358024916
117358700;109042400;1212600;11339700;9;5.540181818181818;11000;2.8790819186359036;6.0;8.289112694216195
241256100;205379100;1685400;21544400;3;5.503133333333333;15000;2.868888899130849;5.0;8.230523515556214
1294112700;842767000;3880600;85320700;1;5.4939;30000;2.868802791525547;5.0;8.23002945666477
3957953000;2356184800;7437300;236130800;1;5.49188;50000;2.88034964294193;5.0;8.296414065595705
8888196900;5289473800;12811700;535857900;6;5.49652;75000;2.870468235253156;5.0;8.239587889597367
16139891400;9468734600;16805300;946374400;8;5.50728;100000;2.8720423049805976;6.0;8.248627001598265
